,EmpID,Designation,City,DOB,Gender,YearOfAppraisal,Rating,Salary,WorkLifeBalance,CurrentLocation,PreferredLocation,Appraisal,Recommend,Opportunities,CurrentRole,DesiredRole,Infrastructure
73,4004,Senior Manager,Chennai,30:26.4,F,2017,1,3,2,0,Kolkata,1,1,1,1,,4
74,4078,Manager,Chennai,55:04.5,M,2017,3,2,2,0,Hyderabad,0,0,1,1,,2
75,4083,Manager,Bangalore,54:49.4,M,2017,4,5,3,1,,1,1,1,1,,3
76,4226,Manager,Hyderabad,55:01.8,M,2017,3,5,4,1,,0,1,1,1,,1
77,4289,Senior Associate,Noida,54:47.7,M,2017,4,4,4,1,,0,1,1,1,,2
78,4311,Senior Associate,Noida,54:17.8,M,2017,3,5,5,1,,0,1,1,1,,1
79,4438,Senior Associate,Hyderabad,55:02.4,M,2017,3,3,5,1,,1,1,1,1,,2
80,4449,Programmer,Bangalore,54:33.6,M,2017,2,4,5,1,,1,1,1,1,,2
81,4506,Associate,Pune,54:17.6,F,2017,2,4,3,1,,1,1,1,1,,3
82,4554,Programmer,Chennai,55:03.8,M,2017,3,3,4,1,,0,1,1,1,,1
83,4557,Manager,Bangalore,55:04.3,M,2017,3,4,4,0,Hyderabad,0,1,1,1,,3
84,4578,Programmer,Bangalore,54:34.2,M,2017,3,3,2,0,Bangalore,0,1,1,1,,4
85,4600,Manager,Bangalore,54:17.1,M,2017,3,4,2,1,,0,1,1,1,,4
86,4652,Associate,Chennai,54:34.1,F,2017,4,5,4,0,Bangalore,0,1,1,0,Analyst,3
87,4682,Senior Associate,Chennai,54:50.5,M,2017,3,4,4,1,,0,1,1,1,,1
88,4703,Programmer Trainee,Chennai,54:17.9,M,2017,1,2,2,0,Pune,1,0,0,1,,3
89,4717,Programmer Trainee,Pune,53:38.9,M,2017,3,4,4,1,,1,1,1,1,,1
90,4956,Programmer,Chennai,30:26.3,M,2017,1,3,1,0,Kolkata,1,1,1,1,,4
91,5026,Senior Associate,Bangalore,54:50.3,M,2017,1,4,4,1,,1,1,1,1,,2
92,5129,Programmer Trainee,Noida,55:01.5,M,2017,3,3,4,1,,1,1,1,1,,4
93,5223,Associate,Pune,53:38.7,M,2017,2,4,4,1,,1,1,1,1,,4
94,5230,Senior Manager,Chennai,53:38.2,M,2017,3,4,4,1,,1,1,1,1,,4
95,5254,Programmer,Chennai,53:39.0,M,2017,4,4,4,1,,0,0,1,1,,3
96,5298,Manager,Bangalore,55:03.9,F,2017,3,1,2,0,Chennai,0,0,1,1,,1
97,5332,Programmer,Chennai,55:03.2,F,2017,2,3,4,1,,1,1,1,1,,1
98,5347,Associate,Bangalore,54:17.6,M,2017,3,3,4,1,,0,1,1,1,,1
99,5363,Programmer,Chennai,53:37.9,F,2017,4,3,4,0,Noida,0,1,1,0,Analyst,2
100,5403,Associate,Hyderabad,54:49.1,M,2017,3,3,4,1,,1,1,1,1,,2
101,5617,Programmer Trainee,Hyderabad,53:38.1,M,2017,4,5,5,1,,0,1,1,1,,1
102,5741,Programmer Trainee,Kolkata,54:50.5,F,2017,3,5,2,1,,1,1,1,1,,4
103,5822,Senior Associate,Chennai,55:01.9,M,2017,3,4,3,1,,0,0,1,1,,1
104,5834,Programmer Trainee,Hyderabad,54:17.8,F,2017,3,4,3,1,,0,0,1,1,,1
105,5902,Associate,Pune,54:48.8,M,2017,2,4,5,1,,1,1,1,1,,4
106,5916,Programmer Trainee,Chennai,54:17.3,M,2017,3,4,2,1,,0,0,1,1,,4
107,5969,Programmer Trainee,Hyderabad,55:03.5,M,2017,4,5,5,1,,1,1,1,1,,4
108,6001,Programmer,Noida,55:01.9,M,2017,2,4,4,0,Hyderabad,1,1,1,1,,4
109,6089,Programmer Trainee,Pune,54:49.5,M,2017,4,1,2,0,Bangalore,0,0,1,0,Analyst,3
110,6095,Manager,Kolkata,25:53.1,M,2017,2,2,4,0,Chennai,1,1,1,1,,2
111,6130,Senior Associate,Chennai,54:50.5,M,2017,4,5,4,0,Noida,0,1,1,0,Developer,2
112,6200,Manager,Hyderabad,54:47.7,M,2017,3,4,1,1,,0,0,0,1,,4
113,6347,Programmer Trainee,Hyderabad,53:37.7,F,2017,2,3,3,0,Pune,1,1,1,1,,1
114,6374,Senior Associate,Bangalore,55:03.7,M,2017,4,4,3,1,,1,1,1,1,,1
115,6438,Manager,Kolkata,55:02.5,M,2017,4,1,4,1,,1,0,1,1,,4
116,6604,Senior Manager,Chennai,55:02.2,M,2017,4,5,3,1,,0,1,1,1,,4
117,6610,Senior Associate,Bangalore,55:04.1,F,2017,3,3,4,1,,1,1,1,1,,2
118,6646,Senior Associate,Chennai,54:49.7,M,2017,3,4,3,1,,0,0,0,1,,1
119,6669,Senior Associate,Bangalore,55:02.1,F,2017,4,4,2,1,,0,0,1,1,,2
120,6765,Programmer,Bangalore,55:01.9,F,2017,3,5,4,1,,0,1,1,1,,3
121,6903,Senior Associate,Kolkata,53:39.2,M,2017,2,5,5,0,Kolkata,1,1,1,1,,3
122,6959,Manager,Chennai,54:17.9,F,2017,3,4,4,1,,1,1,1,1,,3
123,7004,Associate,Hyderabad,54:33.5,M,2017,3,4,3,1,,1,1,0,1,,3
124,7007,Programmer Trainee,Noida,54:49.8,M,2017,4,4,3,1,,0,0,1,1,,3
125,7138,Senior Associate,Kolkata,53:39.0,M,2017,1,4,5,1,,1,0,1,1,,4
126,7185,Senior Associate,Chennai,54:18.0,F,2017,3,4,2,1,,0,0,0,1,,2
127,7188,Senior Manager,Pune,55:02.9,M,2017,3,4,3,0,Noida,0,0,0,1,,2
128,7197,Associate,Bangalore,54:17.6,M,2017,3,1,4,1,,1,0,1,1,,3
129,7402,Associate,Bangalore,54:48.0,M,2017,3,4,3,1,,1,0,0,1,,2
130,7476,Associate,Hyderabad,53:38.4,F,2017,3,3,2,0,Hyderabad,0,1,0,1,,3
131,7524,Associate,Bangalore,54:33.4,F,2017,4,4,4,1,,1,0,1,1,,2
132,7537,Senior Associate,Kolkata,53:39.1,M,2017,2,5,4,1,,1,1,1,1,,1
133,7574,Associate,Noida,55:02.7,M,2017,2,5,3,1,,1,1,0,1,,2
134,7594,Associate,Kolkata,54:48.9,M,2017,3,3,4,1,,1,1,1,1,,4
135,7698,Associate,Chennai,55:04.2,M,2017,4,3,4,1,,1,1,1,1,,1
136,7711,Associate,Kolkata,55:03.1,F,2017,3,4,5,1,,0,0,1,1,,1
137,7730,Programmer Trainee,Hyderabad,54:34.2,F,2017,2,2,2,0,Chennai,1,1,0,1,,4
138,7803,Programmer,Pune,55:04.0,M,2017,3,5,5,1,,1,1,1,1,,2
139,7931,Manager,Chennai,53:38.6,M,2017,3,4,3,1,,0,0,0,1,,2
140,7961,Manager,Kolkata,54:33.8,M,2017,4,1,4,1,,0,0,1,1,,1
141,8062,Senior Manager,Chennai,54:47.4,F,2017,4,4,2,1,,0,0,1,1,,1
142,8146,Associate,Bangalore,54:33.6,M,2017,3,4,2,1,,1,1,0,1,,4
143,8147,Senior Associate,Hyderabad,55:02.3,F,2017,3,4,1,0,Chennai,0,0,0,1,,3
144,8158,Programmer Trainee,Kolkata,54:16.9,M,2017,1,5,4,1,,1,1,1,1,,2
145,8169,Senior Manager,Chennai,54:50.5,F,2017,4,4,3,1,,0,0,0,1,,1
146,8199,Senior Manager,Pune,54:47.6,F,2017,3,3,1,0,Chennai,0,1,0,1,,3
147,8259,Senior Associate,Kolkata,55:03.7,F,2017,3,4,4,1,,0,0,1,1,,4
148,8420,Associate,Chennai,54:16.7,M,2017,3,4,1,1,,1,1,0,1,,2
149,8521,Manager,Hyderabad,54:17.6,M,2017,3,3,4,1,,0,1,1,1,,2
150,8526,Manager,Chennai,54:33.8,M,2017,3,3,5,1,,0,1,1,1,,1
151,8550,Associate,Hyderabad,54:49.9,F,2017,3,4,5,1,,1,1,1,1,,1
152,8610,Manager,Chennai,55:01.6,M,2017,3,3,4,1,,1,1,1,1,,3
153,8645,Senior Manager,Chennai,54:48.5,M,2017,3,2,5,1,,0,0,1,1,,3
154,8760,Associate,Bangalore,54:33.6,M,2017,4,4,3,1,,1,0,0,1,,4
155,8856,Associate,Hyderabad,53:39.3,F,2017,3,5,5,0,Bangalore,0,1,1,1,,2
156,8863,Manager,Hyderabad,54:33.3,F,2017,4,5,4,1,,1,1,1,1,,2
157,8913,Associate,Bangalore,54:47.4,M,2017,4,3,4,1,,0,1,1,1,,4
158,8950,Programmer Trainee,Chennai,25:53.1,M,2017,2,3,2,0,Pune,1,1,0,1,,4
159,8981,Associate,Kolkata,54:18.1,F,2017,4,4,2,1,,0,0,0,1,,2
160,9050,Programmer,Pune,54:18.5,M,2017,2,4,4,1,,1,1,1,1,,1
161,9055,Senior Associate,Hyderabad,53:38.0,F,2017,4,5,4,1,,0,1,1,1,,1
162,9088,Programmer Trainee,Pune,54:48.3,M,2017,4,1,4,0,Hyderabad,0,0,0,0,Analyst,2
163,9094,Associate,Noida,55:04.2,F,2017,3,4,3,0,Kolkata,0,0,0,1,,2
164,9141,Senior Associate,Chennai,55:02.3,F,2017,2,4,2,1,,1,1,0,1,,4
165,9142,Associate,Chennai,54:49.1,F,2017,3,4,5,1,,1,0,1,1,,2
166,9197,Programmer,Chennai,55:04.0,M,2017,4,4,4,1,,1,1,0,1,,2
167,9317,Programmer Trainee,Pune,54:18.0,M,2017,2,4,3,1,,1,1,0,1,,2
168,9319,Associate,Kolkata,54:33.6,M,2017,3,3,3,0,Bangalore,0,1,0,1,,2
169,9327,Associate,Bangalore,55:02.0,M,2017,3,3,4,1,,0,1,0,1,,2
170,9333,Senior Manager,Kolkata,54:33.6,F,2017,3,4,1,1,,0,0,0,1,,4
171,9444,Manager,Chennai,55:02.0,M,2017,4,5,4,1,,0,1,0,1,,4
172,9491,Associate,Bangalore,54:47.9,M,2017,3,5,1,1,,0,1,0,1,,2
173,9567,Associate,Chennai,54:48.7,M,2017,4,4,3,1,,1,0,0,1,,2
174,9766,Manager,Bangalore,54:48.8,M,2017,3,5,4,1,,1,1,0,1,,2
175,9768,Programmer Trainee,Chennai,54:33.3,F,2017,3,4,4,1,,0,0,0,1,,2
176,9863,Programmer Trainee,Bangalore,55:03.6,M,2017,1,4,4,1,,1,0,0,1,,3
177,9885,Associate,Pune,54:34.1,F,2017,2,4,3,1,,1,1,0,1,,2
178,9894,Programmer Trainee,Hyderabad,54:47.9,F,2017,3,2,5,1,,0,0,1,1,,3
179,9995,Associate,Chennai,54:50.5,F,2017,4,2,2,0,Chennai,0,0,0,0,Analyst,2
180,10028,Programmer Trainee,Bangalore,54:33.5,M,2017,3,4,1,1,,0,0,0,1,,4
181,10084,Associate,Pune,55:03.2,M,2017,3,4,1,1,,0,0,0,1,,1
182,10135,Associate,Bangalore,54:49.4,M,2017,4,3,2,0,Chennai,0,0,0,0,Analyst,3
183,10143,Associate,Bangalore,54:34.0,M,2017,3,3,3,0,Bangalore,0,0,0,1,,4
184,10152,Senior Associate,Hyderabad,54:47.6,F,2017,3,3,2,0,Bangalore,0,0,0,1,,3
185,10203,Senior Manager,Pune,55:03.3,M,2017,4,2,4,1,,1,1,0,1,,4
186,10245,Senior Associate,Chennai,54:34.0,M,2017,3,1,5,1,,0,0,1,1,,3
187,10300,Associate,Chennai,54:16.9,F,2017,3,3,3,0,Bangalore,0,0,0,1,,3
188,10320,Associate,Hyderabad,53:38.4,M,2017,1,4,2,1,,1,0,0,1,,2
189,10325,Manager,Kolkata,55:02.3,F,2017,3,3,4,1,,1,0,0,1,,1
190,10354,Programmer Trainee,Chennai,54:50.2,M,2017,4,5,2,1,,1,1,0,1,,3
191,10483,Programmer Trainee,Pune,55:03.2,F,2017,1,5,4,0,Bangalore,1,1,0,1,,2
192,10528,Senior Manager,Hyderabad,55:01.9,F,2017,3,2,3,0,Hyderabad,0,0,0,1,,4
193,10577,Associate,Pune,54:33.6,F,2017,4,2,2,0,Chennai,0,0,0,0,Analyst,4
194,10673,Senior Manager,Hyderabad,53:38.3,M,2017,4,2,4,1,,1,1,0,1,,4
195,10693,Programmer Trainee,Hyderabad,54:16.8,F,2017,4,4,4,1,,0,0,0,1,,3
196,10783,Senior Manager,Hyderabad,54:49.2,F,2017,3,4,1,1,,0,0,0,1,,3
197,10831,Programmer,Chennai,54:49.5,M,2017,4,1,4,1,,0,0,0,1,,3
198,10849,Manager,Bangalore,55:02.3,M,2017,3,4,3,1,,1,1,0,1,,4
199,10874,Associate,Kolkata,54:48.6,M,2017,4,5,4,1,,1,1,0,1,,4
200,10977,Programmer Trainee,Chennai,54:17.0,F,2017,4,5,5,1,,0,1,1,1,,1
201,10992,Programmer Trainee,Hyderabad,53:38.4,F,2017,2,4,4,1,,1,1,0,1,,3
202,11036,Associate,Chennai,54:48.3,M,2017,4,4,2,1,,0,0,0,1,,2
203,11073,Senior Associate,Pune,54:50.6,M,2017,3,3,4,1,,0,0,0,1,,3
204,11134,Manager,Bangalore,30:26.4,M,2017,2,3,3,0,Hyderabad,1,1,0,1,,3
205,11178,Manager,Hyderabad,54:48.1,F,2017,3,5,4,1,,1,1,0,1,,4
206,11183,Programmer Trainee,Hyderabad,54:49.7,M,2017,1,3,5,1,,1,0,0,1,,2
207,11192,Associate,Kolkata,55:03.2,F,2017,3,4,2,1,,1,1,0,1,,4
208,11322,Programmer Trainee,Hyderabad,54:50.4,M,2017,3,4,3,1,,0,0,0,1,,1
209,11327,Programmer Trainee,Hyderabad,54:47.3,F,2017,2,4,2,0,Pune,1,1,0,1,,3
210,11330,Programmer,Kolkata,54:47.5,M,2017,4,4,4,0,Chennai,0,0,0,0,Analyst,1
211,11378,Associate,Hyderabad,53:38.7,M,2017,4,4,2,1,,1,1,0,1,,4
212,11406,Associate,Kolkata,54:33.8,M,2017,1,5,3,0,Chennai,1,1,0,1,,2
213,11432,Programmer Trainee,Chennai,53:38.7,M,2017,2,4,2,0,Bangalore,1,1,0,1,,3
214,11567,Manager,Chennai,55:03.8,M,2017,4,4,4,1,,1,1,0,1,,2
215,11596,Programmer Trainee,Bangalore,54:47.6,F,2017,3,5,4,1,,0,1,0,1,,1
216,11597,Senior Associate,Pune,54:48.4,M,2017,4,3,3,0,Pune,0,0,0,0,Architect,3
217,11639,Manager,Hyderabad,54:50.3,M,2017,3,2,4,1,,1,1,0,1,,4
218,11701,Associate,Hyderabad,54:33.3,F,2017,3,5,3,1,,0,1,0,1,,3
219,11752,Associate,Hyderabad,54:17.3,F,2017,2,4,2,0,Chennai,1,1,0,1,,4
220,11907,Associate,Pune,54:34.2,F,2017,2,3,1,0,Pune,1,1,0,1,,2
221,11960,Programmer,Pune,54:50.0,F,2017,4,4,4,1,,0,0,0,1,,3
222,11962,Manager,Noida,54:47.9,M,2017,3,3,2,0,Hyderabad,0,0,0,1,,1
223,11965,Associate,Pune,55:02.7,F,2017,1,4,2,0,Hyderabad,1,0,0,1,,2
224,11969,Manager,Hyderabad,54:33.4,M,2017,3,5,4,1,,0,1,0,1,,1
225,12084,Associate,Pune,54:47.3,M,2017,3,4,2,1,,0,0,0,1,,3
226,12144,Associate,Hyderabad,54:47.3,M,2017,1,5,4,0,Pune,1,1,0,1,,1
227,12191,Associate,Bangalore,54:18.1,M,2017,4,4,2,0,Hyderabad,0,0,0,0,Architect,4
228,12236,Senior Associate,Pune,55:02.6,M,2017,3,3,4,1,,0,0,0,1,,4
229,12347,Senior Manager,Hyderabad,55:02.2,M,2017,3,4,4,1,,1,1,0,1,,3
230,12363,Programmer,Hyderabad,54:49.0,F,2017,3,4,3,1,,0,0,0,1,,4
231,12434,Manager,Kolkata,54:34.0,F,2017,3,1,2,0,Bangalore,0,0,0,1,,4
232,12499,Senior Manager,Kolkata,54:33.5,M,2017,3,4,4,1,,0,0,0,1,,3
233,12500,Manager,Pune,54:48.2,M,2017,3,3,4,1,,1,1,0,1,,1
234,12571,Senior Manager,Hyderabad,54:49.0,M,2017,3,1,3,0,Chennai,0,0,0,1,,4
235,12582,Senior Manager,Hyderabad,54:50.4,M,2017,3,3,4,1,,0,0,0,1,,2
236,12616,Programmer Trainee,Pune,54:49.3,M,2017,3,5,4,1,,0,1,0,1,,3
237,12699,Programmer Trainee,Pune,54:17.4,F,2017,1,3,2,0,Bangalore,1,0,0,1,,1
238,12875,Manager,Chennai,54:34.1,M,2017,3,4,4,1,,0,0,0,1,,4
239,12940,Senior Associate,Bangalore,54:48.0,M,2017,3,3,4,1,,0,0,0,1,,2
240,12984,Associate,Kolkata,54:49.9,F,2017,3,4,2,1,,1,1,0,1,,4
241,13000,Manager,Pune,54:50.4,F,2017,3,5,3,1,,1,1,0,1,,4
242,13026,Senior Manager,Bangalore,55:02.9,M,2017,3,5,2,1,,1,1,0,1,,2
243,13039,Associate,Bangalore,55:02.6,M,2017,2,4,2,1,,1,1,0,1,,4
244,13097,Senior Associate,Chennai,54:49.7,F,2017,2,4,4,1,,1,1,0,1,,2
245,13241,Senior Associate,Bangalore,54:49.6,M,2017,3,2,4,0,Chennai,0,0,0,1,,2
246,13408,Associate,Hyderabad,53:39.0,M,2017,4,3,3,0,Chennai,0,0,0,0,Developer,2
247,13414,Manager,Hyderabad,54:48.4,M,2017,3,4,4,1,,0,0,0,1,,4
248,13416,Manager,Bangalore,54:33.8,M,2017,3,3,2,0,Chennai,0,0,0,1,,4
249,13431,Manager,Bangalore,55:02.1,M,2017,4,3,5,1,,0,0,0,1,,1
250,13450,Programmer,Chennai,53:38.5,F,2017,1,3,5,1,,1,0,0,1,,1
251,13455,Senior Manager,Pune,53:38.3,F,2017,3,1,4,1,,1,1,0,1,,1
252,13529,Programmer Trainee,Kolkata,54:33.4,F,2017,3,4,4,1,,0,0,0,1,,2
253,13648,Senior Associate,Chennai,54:49.4,M,2017,3,3,4,1,,1,1,0,1,,2
254,13654,Senior Associate,Kolkata,55:03.7,M,2017,1,5,4,1,,1,1,0,1,,3
255,13675,Programmer Trainee,Chennai,54:48.7,M,2017,4,5,4,1,,0,1,0,1,,4
256,13866,Senior Associate,Chennai,55:02.1,M,2017,2,3,4,1,,1,1,0,1,,2
257,14065,Senior Associate,Chennai,54:17.2,M,2017,2,2,3,0,Noida,1,1,0,1,,1
258,14070,Associate,Hyderabad,54:17.5,M,2017,1,5,4,1,,1,1,0,1,,2
259,14092,Manager,Chennai,55:03.3,M,2017,3,4,4,1,,0,0,0,1,,3
260,14110,Senior Manager,Hyderabad,55:03.9,M,2017,4,5,4,1,,1,1,0,1,,1
261,14173,Senior Manager,Bangalore,54:34.1,M,2017,4,4,3,1,,0,0,0,1,,1
262,14198,Programmer,Kolkata,54:17.6,M,2017,4,4,2,1,,1,1,0,1,,1
263,14299,Programmer,Pune,53:38.8,M,2017,4,5,1,1,,1,1,0,1,,3
264,14322,Senior Associate,Hyderabad,54:33.7,M,2017,4,5,4,1,,1,1,0,1,,3
265,14445,Senior Associate,Chennai,55:01.7,M,2017,3,3,4,1,,1,0,0,1,,2
266,14466,Programmer,Chennai,55:03.1,M,2017,1,3,2,0,Bangalore,1,0,0,1,,2
267,14520,Senior Manager,Chennai,54:17.2,M,2017,3,3,1,0,Hyderabad,0,0,0,1,,1
268,14544,Programmer Trainee,Bangalore,54:17.8,M,2017,1,5,5,1,,1,1,0,1,,3
269,14612,Senior Associate,Kolkata,55:03.8,M,2017,2,4,5,1,,1,1,0,1,,1
270,14782,Senior Associate,Chennai,54:49.4,F,2017,2,4,3,1,,1,1,0,1,,3
271,14830,Associate,Bangalore,55:04.0,M,2017,4,4,5,1,,0,0,0,1,,1
272,14878,Manager,Kolkata,27:48.2,M,2017,2,3,2,0,Chennai,1,1,0,1,,3
273,14883,Programmer,Bangalore,25:53.1,M,2017,3,3,3,0,Chennai,0,0,0,1,,3
274,15099,Programmer Trainee,Kolkata,53:38.1,M,2017,2,4,4,1,,1,1,0,1,,4
275,15125,Associate,Chennai,54:16.8,M,2017,1,4,4,1,,1,0,0,1,,3
276,15148,Programmer Trainee,Hyderabad,54:49.8,M,2017,2,2,4,0,Pune,1,1,0,1,,3
277,15155,Manager,Pune,55:02.0,F,2017,4,4,3,1,,0,0,0,1,,2
278,15160,Programmer Trainee,Chennai,55:02.0,F,2017,3,2,3,0,Hyderabad,0,0,0,1,,3
279,15179,Associate,Bangalore,54:50.5,M,2017,2,4,1,0,Bangalore,1,1,0,1,,1
280,15224,Associate,Bangalore,54:47.5,M,2017,3,2,5,1,,1,0,0,1,,3
281,15255,Senior Manager,Noida,53:37.7,M,2017,3,3,2,0,Hyderabad,0,0,0,1,,1
